num_voters,num_alternatives,unique_winner_frequency,winner_frequency,2_winner_frequency,3_winner_frequency,4_winner_frequency,5_winner_frequency,tie_frequency
81,5,0.7462,0.7462,0.0,0.0,0.0,0.0,0.0
82,5,0.7538,0.8426,0.0878,0.001,0.0,0.0,0.0882
83,5,0.7512,0.7512,0.0,0.0,0.0,0.0,0.0
84,5,0.7549,0.8387,0.0829,0.0009,0.0,0.0,0.0866
85,5,0.7512,0.7512,0.0,0.0,0.0,0.0,0.0
86,5,0.7704,0.8466,0.0753,0.0009,0.0,0.0,0.0861
87,5,0.7514,0.7514,0.0,0.0,0.0,0.0,0.0
88,5,0.762,0.8412,0.0784,0.0008,0.0,0.0,0.0844
89,5,0.7621,0.7621,0.0,0.0,0.0,0.0,0.0
90,5,0.7582,0.8346,0.0756,0.0008,0.0,0.0,0.0835
91,5,0.7448,0.7448,0.0,0.0,0.0,0.0,0.0
92,5,0.7594,0.8413,0.0811,0.0008,0.0,0.0,0.0843
93,5,0.7498,0.7498,0.0,0.0,0.0,0.0,0.0
94,5,0.7651,0.8391,0.0735,0.0005,0.0,0.0,0.0824
95,5,0.7499,0.7499,0.0,0.0,0.0,0.0,0.0
96,5,0.763,0.8401,0.0764,0.0007,0.0,0.0,0.0812
97,5,0.7586,0.7586,0.0,0.0,0.0,0.0,0.0
98,5,0.7595,0.8365,0.0759,0.0011,0.0,0.0,0.0803
99,5,0.7508,0.7508,0.0,0.0,0.0,0.0,0.0
100,5,0.7592,0.831,0.0709,0.0009,0.0,0.0,0.0796
